journey_id,start_time,end_time,duration_total_s,n_events,n_zones_visited,zones_sequence,start_zone,end_zone,gender,age_range,completed,day_of_week,hour_of_day,stitch_confidence
J000187,2025-03-10 09:36:17,2025-03-10 09:36:31,14,3,1,Z_C2,Z_C2,Z_C2,F,senior,True,0,9,1.0
J000183,2025-03-10 09:35:43,2025-03-10 09:36:41,58,3,2,Z_N9;Z_C1,Z_N9,Z_C1,M,young_adult,True,0,9,1.0
J000185,2025-03-10 09:36:02,2025-03-10 09:36:53,51,3,3,Z_E2;Z_C1;Z_CK,Z_E2,Z_CK,F,middle_aged,True,0,9,1.0
J000189,2025-03-10 09:36:34,2025-03-10 09:36:56,22,2,1,Z_C1,Z_C1,Z_C1,F,middle_aged,True,0,9,1.0
J000164,2025-03-10 09:32:54,2025-03-10 09:37:09,255,3,2,Z_CK;Z_N2;Z_CK,Z_CK,Z_CK,M,adult,True,0,9,1.0
J000182,2025-03-10 09:35:36,2025-03-10 09:37:09,93,3,2,Z_N10;Z_S3,Z_N10,Z_S3,F,teenager,True,0,9,1.0
J000190,2025-03-10 09:36:41,2025-03-10 09:37:11,30,3,1,Z_C3,Z_C3,Z_C3,F,senior,True,0,9,1.0
J000179,2025-03-10 09:35:05,2025-03-10 09:37:23,138,4,2,Z_N4;Z_N7;Z_N4,Z_N4,Z_N4,F,adult,True,0,9,1.0
J000192,2025-03-10 09:37:07,2025-03-10 09:37:31,24,3,2,Z_C2;Z_E1,Z_C2,Z_E1,F,middle_aged,True,0,9,1.0
J000193,2025-03-10 09:37:22,2025-03-10 09:37:33,11,2,2,Z_E1;Z_C2,Z_E1,Z_C2,F,middle_aged,True,0,9,1.0
J000169,2025-03-10 09:33:43,2025-03-10 09:37:34,231,3,2,Z_N2;Z_E1,Z_N2,Z_E1,M,adult,True,0,9,1.0
